No,Date,Year,Quarter,Month,Month Name, li_investasi , li_bukan_investasi , li_aset , li_utang , li_cadangan_teknis , li_liabilitas , li_ekuitas , li_premi , li_klaim , gi_investasi , gi_bukan_investasi , gi_aset , gi_utang , gi_cadangan_teknis , gi_liabilitas , gi_ekuitas , gi_premi , gi_klaim , r_investasi , r_bukan_investasi , r_aset , r_utang , r_cadangan_teknis , r_liabilitas , r_ekuitas , r_premi , r_klaim , si_investasi , si_bukan_investasi , si_aset , si_liabilitas , si_ekuitas , si_premi , si_klaim , csa_investasi , csa_bukan_investasi , csa_aset , csa_liabilitas , csa_ekuitas , csa_premi , csa_klaim , total_aset , total_liabilitas , total_ekuitas , total_premi , total_klaim 
1,Jan-16,2016,1,1,January," 285,292,670.74 "," 50,752,030.90 "," 336,044,701.65 "," 17,501,674.27 "," 243,596,509.93 "," 261,098,184.20 "," 74,365,995.09 "," 8,888,655.98 "," 6,087,770.27 "," 58,736,327.14 "," 64,626,512.78 "," 123,362,839.92 "," 22,108,963.28 "," 56,777,794.94 "," 78,886,758.22 "," 44,278,640.16 "," 6,057,584.16 "," 2,562,164.24 "," 9,825,914.05 "," 4,893,294.58 "," 14,719,208.63 "," 877,946.16 "," 6,906,960.83 "," 7,784,906.99 "," 6,377,090.74 "," 791,327.36 "," 313,398.95 "," 219,347,215.46 "," 16,012,155.22 "," 235,358,370.68 "," 31,212,441.61 "," 204,145,929.07 "," 7,685,598.22 "," 7,312,928.09 "," 95,933,885.66 "," 34,375,018.20 "," 130,308,903.86 "," 110,744,326.10 "," 19,564,577.76 "," 947,136.22 "," 681,126.79 "," 839,794,024.73 "," 489,726,617.11 "," 348,732,232.82 "," 24,370,301.95 "," 16,957,388.35 "
2,Feb-16,2016,1,2,February," 288,820,299.45 "," 51,200,028.74 "," 340,020,328.19 "," 17,314,345.46 "," 247,152,414.37 "," 264,466,759.83 "," 74,973,047.00 "," 17,315,248.54 "," 11,735,298.11 "," 58,585,555.87 "," 64,492,964.34 "," 123,078,520.21 "," 21,549,006.54 "," 56,132,224.45 "," 77,681,230.99 "," 45,203,694.06 "," 9,931,117.56 "," 4,923,216.99 "," 9,879,347.08 "," 5,106,140.92 "," 14,985,487.99 "," 961,852.69 "," 7,011,313.37 "," 7,973,166.06 "," 6,453,649.09 "," 1,940,556.88 "," 680,373.06 "," 221,846,518.03 "," 17,164,847.54 "," 239,011,365.57 "," 32,198,791.75 "," 206,812,573.82 "," 15,908,560.77 "," 14,506,843.55 "," 103,497,006.00 "," 27,739,806.00 "," 131,236,812.00 "," 110,932,481.00 "," 20,304,331.00 "," 1,878,394.00 "," 1,331,569.00 "," 848,332,513.96 "," 493,252,429.64 "," 353,747,294.97 "," 46,973,877.74 "," 33,177,300.72 "
3,Mar-16,2016,1,3,March," 297,604,120.94 "," 50,263,350.70 "," 347,867,471.63 "," 18,098,652.11 "," 252,309,181.54 "," 270,407,833.65 "," 76,879,116.03 "," 27,465,166.15 "," 17,065,258.82 "," 58,863,023.51 "," 63,749,157.51 "," 122,612,181.02 "," 21,304,256.14 "," 55,607,358.33 "," 76,911,614.47 "," 45,457,124.98 "," 14,239,867.19 "," 7,094,963.55 "," 10,133,739.98 "," 4,930,221.58 "," 15,063,961.57 "," 1,001,392.09 "," 6,970,193.00 "," 7,971,585.08 "," 6,557,113.80 "," 3,113,463.31 "," 1,116,845.00 "," 227,740,404.64 "," 14,868,959.82 "," 242,609,364.46 "," 32,521,764.45 "," 210,087,600.01 "," 25,031,629.05 "," 18,236,720.73 "," 89,207,106.68 "," 24,938,322.90 "," 114,145,429.58 "," 92,209,527.89 "," 21,935,901.69 "," 2,848,169.71 "," 2,065,017.63 "," 842,298,408.26 "," 480,022,325.54 "," 360,916,856.51 "," 72,698,295.40 "," 45,578,805.73 "
4,Apr-16,2016,2,4,April," 302,563,489.09 "," 50,077,453.01 "," 352,640,942.10 "," 18,301,731.16 "," 259,075,188.23 "," 277,376,919.39 "," 74,683,499.55 "," 38,852,479.47 "," 24,137,469.12 "," 58,523,147.61 "," 63,508,508.29 "," 122,031,655.89 "," 21,293,756.45 "," 55,453,032.64 "," 76,746,789.09 "," 45,061,820.35 "," 18,442,902.00 "," 9,407,697.07 "," 10,224,745.64 "," 5,092,008.36 "," 15,316,754.00 "," 1,037,810.63 "," 7,041,495.61 "," 8,079,306.24 "," 6,703,989.82 "," 4,131,987.71 "," 1,532,335.33 "," 229,300,056.82 "," 16,097,698.12 "," 245,397,754.94 "," 34,237,261.81 "," 211,160,493.13 "," 34,738,570.19 "," 25,780,681.25 "," 89,784,120.18 "," 25,089,971.81 "," 114,874,091.99 "," 92,352,170.99 "," 22,521,921.01 "," 3,805,899.83 "," 2,818,351.38 "," 850,261,198.92 "," 488,792,447.52 "," 360,131,723.85 "," 99,971,839.19 "," 63,676,534.15 "
5,May-16,2016,2,5,May," 304,720,895.38 "," 50,726,345.48 "," 355,447,240.86 "," 17,520,057.18 "," 263,126,599.52 "," 280,646,656.69 "," 74,220,059.27 "," 50,255,857.26 "," 29,979,553.69 "," 57,332,009.22 "," 62,577,438.82 "," 119,909,448.05 "," 21,038,973.70 "," 54,846,470.14 "," 75,885,443.84 "," 43,826,345.28 "," 23,117,662.43 "," 11,843,496.86 "," 10,500,799.58 "," 5,014,372.52 "," 15,515,172.09 "," 986,463.90 "," 7,197,658.05 "," 8,184,121.95 "," 6,796,235.62 "," 5,045,111.78 "," 1,896,088.92 "," 232,536,218.82 "," 15,638,321.39 "," 248,174,540.21 "," 34,650,089.66 "," 213,524,450.55 "," 45,305,144.65 "," 33,548,212.71 "," 87,614,314.00 "," 25,661,674.00 "," 113,275,989.00 "," 92,679,757.00 "," 20,596,232.00 "," 4,771,174.00 "," 3,628,118.00 "," 852,322,390.21 "," 492,046,069.14 "," 358,963,322.71 "," 128,494,950.12 "," 80,895,470.18 "
6,Jun-16,2016,2,6,June," 313,017,724.06 "," 50,144,779.88 "," 363,162,503.94 "," 17,354,187.48 "," 269,911,737.36 "," 287,265,924.84 "," 75,316,061.09 "," 61,171,236.77 "," 36,258,735.10 "," 58,231,862.44 "," 66,118,041.77 "," 124,349,904.21 "," 23,052,406.71 "," 55,348,747.17 "," 78,401,153.89 "," 45,750,432.14 "," 29,629,779.40 "," 14,388,507.63 "," 9,930,618.36 "," 5,128,878.66 "," 15,059,497.02 "," 987,059.29 "," 7,331,434.73 "," 8,318,494.02 "," 6,232,759.99 "," 6,171,701.78 "," 2,281,653.38 "," 235,825,955.20 "," 17,696,819.45 "," 253,522,774.65 "," 33,328,384.21 "," 220,194,390.44 "," 55,249,988.77 "," 41,766,831.91 "," 88,356,014.84 "," 27,570,570.74 "," 115,926,585.59 "," 93,556,093.16 "," 22,370,492.42 "," 5,773,220.63 "," 4,563,619.61 "," 872,021,265.41 "," 500,870,050.11 "," 369,864,136.09 "," 157,995,927.35 "," 99,259,347.62 "
7,Jul-16,2016,3,7,July," 326,066,538.27 "," 50,699,591.42 "," 376,766,129.69 "," 19,578,589.95 "," 277,168,934.56 "," 296,747,524.51 "," 79,438,079.89 "," 71,949,283.59 "," 43,604,201.74 "," 59,161,298.75 "," 64,758,023.03 "," 123,919,321.78 "," 22,144,948.97 "," 55,128,644.98 "," 77,273,593.95 "," 46,483,091.48 "," 33,580,962.86 "," 16,108,072.22 "," 8,973,269.71 "," 5,454,024.31 "," 14,427,294.01 "," 1,034,792.81 "," 7,723,512.02 "," 8,758,304.83 "," 5,159,389.58 "," 7,330,593.74 "," 2,597,165.61 "," 243,186,999.73 "," 18,065,835.14 "," 261,252,834.87 "," 35,326,860.77 "," 225,925,974.10 "," 64,765,993.83 "," 48,258,190.76 "," 91,891,759.32 "," 25,014,387.77 "," 116,906,147.09 "," 94,097,757.86 "," 22,808,389.23 "," 6,704,284.65 "," 5,312,547.37 "," 893,271,727.44 "," 512,204,041.92 "," 379,814,924.27 "," 184,331,118.67 "," 115,880,177.71 "
8,Aug-16,2016,3,8,August," 332,099,856.87 "," 51,463,722.87 "," 383,563,579.74 "," 20,506,147.87 "," 282,252,464.41 "," 302,758,612.28 "," 80,203,442.52 "," 84,128,505.67 "," 51,816,466.96 "," 60,283,327.67 "," 62,591,192.42 "," 122,874,520.09 "," 21,339,433.82 "," 54,652,842.78 "," 75,992,276.61 "," 46,719,607.19 "," 37,537,122.41 "," 18,734,201.25 "," 9,163,716.41 "," 5,426,179.59 "," 14,589,895.99 "," 1,056,663.19 "," 7,837,537.90 "," 8,894,201.10 "," 5,184,738.67 "," 8,372,207.12 "," 3,106,912.18 "," 244,445,713.97 "," 22,887,162.44 "," 267,332,876.41 "," 34,208,432.69 "," 233,124,443.73 "," 74,777,835.65 "," 56,030,977.00 "," 93,039,723.24 "," 24,840,469.43 "," 117,880,192.67 "," 95,000,876.71 "," 22,879,315.95 "," 7,707,887.03 "," 6,245,114.81 "," 906,241,064.90 "," 516,854,399.39 "," 388,111,548.06 "," 212,523,557.88 "," 135,933,672.20 "
9,Sep-16,2016,3,9,September," 334,441,285.82 "," 50,802,816.69 "," 385,244,102.51 "," 20,125,935.63 "," 284,883,810.54 "," 305,009,746.18 "," 79,632,833.57 "," 95,708,500.01 "," 58,655,538.51 "," 60,091,002.22 "," 61,993,254.94 "," 122,084,257.16 "," 21,028,822.75 "," 54,490,003.36 "," 75,518,826.11 "," 46,401,596.33 "," 41,713,316.58 "," 20,393,377.79 "," 9,039,952.22 "," 5,574,150.20 "," 14,614,102.42 "," 1,042,039.35 "," 7,871,741.45 "," 8,913,780.80 "," 5,215,936.92 "," 9,343,511.44 "," 3,564,683.33 "," 256,704,125.89 "," 15,894,549.30 "," 272,598,675.19 "," 36,326,622.94 "," 236,272,052.25 "," 84,688,944.67 "," 63,874,385.63 "," 92,838,942.32 "," 24,713,528.73 "," 117,552,471.05 "," 95,160,734.52 "," 22,391,736.53 "," 8,685,350.65 "," 7,182,518.79 "," 912,093,608.33 "," 520,929,710.55 "," 389,914,155.61 "," 240,139,623.34 "," 153,670,504.05 "
10,Oct-16,2016,4,10,October," 338,508,620.93 "," 49,931,549.43 "," 388,440,170.36 "," 20,232,058.69 "," 289,918,379.62 "," 310,150,438.31 "," 77,687,993.15 "," 109,167,672.15 "," 65,674,225.22 "," 60,099,926.11 "," 61,175,594.52 "," 121,275,520.62 "," 20,936,931.31 "," 53,667,488.82 "," 74,604,420.13 "," 46,509,089.93 "," 46,038,749.20 "," 22,904,734.50 "," 9,078,663.98 "," 5,453,540.19 "," 14,532,204.16 "," 999,407.16 "," 7,846,661.75 "," 8,846,068.90 "," 5,200,393.96 "," 10,491,060.01 "," 4,050,074.95 "," 257,967,875.15 "," 17,590,754.42 "," 275,558,629.58 "," 38,406,740.92 "," 237,151,888.65 "," 95,005,048.68 "," 71,649,023.79 "," 92,746,369.21 "," 24,807,612.19 "," 117,553,981.40 "," 95,643,839.00 "," 21,910,142.39 "," 9,664,621.01 "," 8,018,779.28 "," 917,360,506.12 "," 527,651,507.27 "," 388,459,508.09 "," 270,367,151.06 "," 172,296,837.74 "
11,Nov-16,2016,4,11,November," 334,704,789.91 "," 51,173,785.11 "," 385,878,575.02 "," 20,423,919.76 "," 287,943,378.36 "," 308,367,298.12 "," 76,909,754.40 "," 123,510,043.95 "," 72,384,714.67 "," 59,211,885.80 "," 61,268,280.21 "," 120,480,166.01 "," 21,361,954.82 "," 52,697,417.56 "," 74,059,372.38 "," 46,258,782.87 "," 50,062,414.34 "," 25,266,246.12 "," 9,045,019.36 "," 5,382,373.85 "," 14,427,393.21 "," 958,255.62 "," 7,736,122.26 "," 8,694,377.88 "," 5,245,917.42 "," 11,646,623.88 "," 4,525,277.52 "," 257,262,146.30 "," 17,063,661.12 "," 274,325,807.42 "," 35,060,843.65 "," 239,264,963.78 "," 104,994,742.87 "," 79,079,079.38 "," 93,021,806.52 "," 24,939,150.82 "," 117,960,957.34 "," 96,862,470.98 "," 21,098,486.36 "," 10,666,618.44 "," 8,882,017.85 "," 913,072,899.00 "," 523,044,363.01 "," 388,777,904.82 "," 300,880,443.48 "," 190,137,335.54 "
12,Dec-16,2016,4,12,December," 343,270,703.43 "," 51,838,004.97 "," 395,108,708.40 "," 20,217,625.69 "," 297,314,773.83 "," 317,532,399.52 "," 76,974,786.48 "," 137,785,583.48 "," 79,049,514.29 "," 60,551,017.14 "," 63,886,376.73 "," 124,437,393.87 "," 23,771,651.57 "," 52,945,801.84 "," 76,717,453.42 "," 47,557,929.70 "," 57,454,427.72 "," 27,578,129.33 "," 9,162,243.31 "," 5,871,439.11 "," 15,033,682.41 "," 1,045,624.40 "," 8,097,639.78 "," 9,143,264.18 "," 5,429,891.84 "," 13,248,399.88 "," 5,035,537.53 "," 273,155,006.62 "," 16,829,249.32 "," 289,984,255.95 "," 40,563,465.08 "," 249,420,790.87 "," 116,281,607.66 "," 86,803,377.24 "," 94,283,871.85 "," 25,730,376.44 "," 120,014,248.29 "," 97,957,793.69 "," 22,056,454.60 "," 11,732,641.38 "," 9,907,722.35 "," 944,578,288.92 "," 541,914,375.88 "," 401,439,853.49 "," 336,502,660.13 "," 208,374,280.74 "
13,Jan-17,2017,1,1,January," 347,107,179.07 "," 53,454,816.77 "," 400,561,995.84 "," 19,924,300.59 "," 302,327,939.06 "," 322,252,239.65 "," 77,708,233.17 "," 12,184,048.96 "," 6,484,888.73 "," 60,111,601.85 "," 63,445,142.82 "," 123,556,744.67 "," 24,778,299.26 "," 51,119,290.97 "," 75,897,590.23 "," 47,461,732.87 "," 5,321,828.75 "," 2,297,611.71 "," 9,103,740.38 "," 6,167,848.52 "," 15,271,588.90 "," 1,219,045.44 "," 7,973,167.94 "," 9,192,213.38 "," 5,617,999.95 "," 1,114,471.92 "," 455,062.07 "," 265,582,977.20 "," 23,171,053.49 "," 288,753,030.70 "," 39,425,991.74 "," 249,327,038.95 "," 8,406,430.67 "," 8,054,136.42 "," 99,820,137.61 "," 20,563,087.79 "," 120,383,225.40 "," 98,603,995.74 "," 21,779,229.66 "," 969,074.03 "," 1,119,197.86 "," 948,526,585.51 "," 545,372,030.74 "," 401,894,234.60 "," 27,995,854.33 "," 18,410,896.79 "
14,Feb-17,2017,1,2,February," 351,903,437.23 "," 54,413,603.59 "," 406,317,040.82 "," 20,700,650.55 "," 306,266,441.98 "," 326,967,092.53 "," 78,748,433.78 "," 21,411,863.19 "," 12,427,673.29 "," 61,052,589.85 "," 61,588,114.18 "," 122,640,704.03 "," 23,629,024.74 "," 50,417,297.82 "," 74,046,322.56 "," 48,432,369.98 "," 9,101,140.14 "," 4,385,709.20 "," 9,331,900.00 "," 6,254,590.00 "," 15,586,500.00 "," 1,298,740.00 "," 8,018,140.00 "," 9,316,880.00 "," 5,807,400.00 "," 2,363,469.75 "," 897,971.81 "," 270,298,918.88 "," 23,363,366.77 "," 293,661,285.65 "," 40,633,644.44 "," 253,027,641.21 "," 18,552,997.49 "," 16,728,662.53 "," 99,144,827.11 "," 20,718,051.12 "," 119,862,878.22 "," 98,543,230.09 "," 21,319,648.13 "," 1,903,958.04 "," 1,865,740.03 "," 958,068,408.72 "," 549,507,169.63 "," 407,335,493.09 "," 53,333,428.61 "," 36,305,756.85 "
15,Mar-17,2017,1,3,March," 365,223,655.71 "," 54,277,270.20 "," 419,500,925.91 "," 23,000,632.06 "," 313,434,376.23 "," 336,435,008.28 "," 82,464,403.70 "," 35,188,695.60 "," 20,385,438.35 "," 62,197,323.29 "," 62,157,429.33 "," 124,354,752.63 "," 23,347,148.57 "," 51,639,862.11 "," 74,987,010.68 "," 49,205,731.84 "," 14,193,506.34 "," 6,330,078.79 "," 9,604,311.27 "," 6,742,752.57 "," 16,347,063.84 "," 1,477,105.63 "," 8,565,714.68 "," 10,042,820.30 "," 5,869,097.74 "," 3,867,961.61 "," 1,412,192.58 "," 276,519,077.63 "," 21,410,208.23 "," 297,928,283.65 "," 40,368,663.76 "," 257,559,619.89 "," 29,263,626.46 "," 25,703,070.13 "," 102,594,505.37 "," 20,418,681.71 "," 123,013,187.08 "," 99,045,018.05 "," 23,968,169.03 "," 2,883,937.39 "," 2,641,525.31 "," 981,144,213.11 "," 560,878,521.07 "," 419,067,022.20 "," 85,397,727.40 "," 56,472,305.15 "
16,Apr-17,2017,2,4,April," 369,722,287.91 "," 53,974,286.23 "," 423,696,574.14 "," 21,088,981.68 "," 318,736,712.69 "," 339,825,694.37 "," 83,313,357.25 "," 47,827,928.18 "," 27,540,690.66 "," 62,053,340.15 "," 62,162,523.25 "," 124,215,863.41 "," 23,426,611.90 "," 51,409,422.65 "," 74,836,034.54 "," 49,216,012.32 "," 18,325,981.48 "," 8,289,191.14 "," 9,664,128.35 "," 6,581,523.40 "," 16,245,651.76 "," 1,607,722.51 "," 8,466,176.02 "," 10,073,898.53 "," 5,735,758.25 "," 4,890,615.08 "," 1,796,699.84 "," 278,446,759.12 "," 23,040,176.99 "," 301,486,936.10 "," 39,244,706.15 "," 262,242,229.98 "," 39,869,282.62 "," 34,158,733.02 "," 102,060,257.21 "," 21,463,166.91 "," 123,523,424.12 "," 99,189,597.15 "," 24,333,826.96 "," 3,733,559.55 "," 3,402,767.97 "," 989,168,449.52 "," 563,169,930.76 "," 424,841,184.76 "," 114,647,366.91 "," 75,188,082.64 "
17,May-17,2017,2,5,May," 373,291,053.43 "," 54,864,018.31 "," 428,155,071.74 "," 21,161,497.80 "," 321,962,914.75 "," 343,124,412.55 "," 84,473,136.85 "," 61,841,121.61 "," 36,588,057.91 "," 62,218,625.65 "," 60,913,129.93 "," 123,131,755.58 "," 23,561,822.58 "," 50,381,272.54 "," 73,943,095.12 "," 49,024,844.91 "," 22,463,169.73 "," 11,113,840.43 "," 9,636,806.15 "," 6,614,125.91 "," 16,250,932.06 "," 1,464,373.00 "," 8,593,255.34 "," 10,057,628.35 "," 5,756,459.56 "," 5,923,672.38 "," 2,221,375.84 "," 287,509,548.96 "," 18,433,714.39 "," 305,942,263.35 "," 42,292,308.74 "," 263,649,954.62 "," 50,884,985.96 "," 43,691,403.76 "," 104,332,663.80 "," 20,227,432.07 "," 124,560,095.87 "," 100,420,837.80 "," 24,139,258.07 "," 4,800,083.38 "," 4,307,449.34 "," 998,040,118.60 "," 569,838,282.56 "," 427,043,654.00 "," 145,913,033.06 "," 97,922,127.29 "
18,Jun-17,2017,2,6,June," 378,893,465.09 "," 55,862,810.41 "," 434,756,275.50 "," 21,937,241.78 "," 327,428,493.31 "," 349,365,735.09 "," 84,833,018.22 "," 73,789,928.13 "," 43,929,601.61 "," 62,238,108.03 "," 61,575,211.24 "," 123,813,319.27 "," 23,563,626.50 "," 50,296,846.11 "," 73,860,472.61 "," 49,789,032.12 "," 28,091,598.40 "," 12,843,050.74 "," 9,730,377.19 "," 6,792,189.08 "," 16,522,566.28 "," 1,533,064.02 "," 8,746,073.30 "," 10,279,137.31 "," 5,833,663.75 "," 7,374,045.89 "," 2,651,668.59 "," 295,645,839.84 "," 17,240,661.78 "," 312,885,502.07 "," 44,782,507.99 "," 268,102,994.09 "," 61,600,668.41 "," 52,624,594.94 "," 103,519,551.54 "," 20,841,623.11 "," 124,361,174.65 "," 100,240,034.10 "," 24,121,140.56 "," 5,743,827.74 "," 5,205,678.49 "," 1,012,338,837.78 "," 578,527,887.10 "," 432,679,848.74 "," 176,600,068.58 "," 117,254,594.38 "
19,Jul-17,2017,3,7,July," 400,661,289.85 "," 57,376,312.08 "," 458,037,601.93 "," 22,560,956.70 "," 349,774,467.41 "," 372,335,424.11 "," 85,144,655.40 "," 90,704,339.36 "," 53,823,352.57 "," 63,478,432.01 "," 60,757,939.97 "," 124,236,371.98 "," 23,797,930.01 "," 50,358,737.11 "," 74,156,667.12 "," 49,915,889.26 "," 33,345,491.27 "," 15,275,429.02 "," 9,777,428.72 "," 6,543,105.23 "," 16,320,533.95 "," 1,124,632.28 "," 8,901,657.33 "," 10,026,289.61 "," 5,883,629.96 "," 8,276,443.48 "," 3,052,174.37 "," 295,271,769.35 "," 18,564,335.87 "," 313,835,105.21 "," 43,016,712.17 "," 270,818,393.04 "," 72,718,811.84 "," 61,510,666.08 "," 104,247,607.90 "," 20,179,985.20 "," 124,427,593.10 "," 100,785,777.99 "," 23,641,815.10 "," 6,758,124.03 "," 6,241,779.84 "," 1,036,857,206.16 "," 600,320,871.00 "," 435,404,382.76 "," 211,803,209.98 "," 139,903,401.88 "
